year,historical,rcp26,rcp45,rcp85
1962,6.952,,,
1963,6.955,,,
1964,6.953,,,
1965,7.001,,,
1966,7.032,,,
1967,7.01,,,
1968,7.008,,,
1969,7.014,,,
1970,7.033,,,
1971,7.034,,,
1972,7.049,,,
1973,6.999,,,
1974,7.067,,,
1975,7.046,,,
1976,7.052,,,
1977,,,,
1978,7.074,,,
1979,7.097,,,
1980,7.078,,,
1981,7.084,,,
1982,,,,
1983,7.087,,,
1984,7.052,,,
1985,7.061,,,
1986,7.046,,,
1987,,,,
1988,,,,
1989,7.031,,,
1990,7.026,,,
1991,,,,
1992,,,,
1993,7.02,,,
1994,7.043,,,
1995,7.051,,,
1996,7.017,,,
1997,7.039,,,
1998,,,,
1999,,,,
2000,7.086,,,
2001,7.107,,,
2002,7.123,,,
2003,7.083,,,
2004,7.042,,,
2005,7.028,,,
2006,7.075,,,
2007,7.078,,,
2008,7.084,,,
2009,7.092,,,
2010,7.09,,,
2011,7.074,,,
2012,7.068,,,
2013,,,,
2014,7.149,,,
2015,7.096,,,
2016,7.118,,,
2017,7.111,,,
2018,,,,
2019,7.145,,,
2020,7.169,7.169,7.169122699999999,7.1683563999999995
2021,,,,
2022,,,,
2023,7.19,,,
2024,,,,
2025,7.201,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,7.209861999999999,7.210768699999999,7.2167482
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,7.252694599999999,7.2578225,7.2741929999999995
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,7.2959447,7.309103499999999,7.3409352
2051,,,,
2052,,,,
2053,,,,
2054,,,,
2055,,,,
2056,,,,
2057,,,,
2058,,,,
2059,,,,
2060,,7.3384347,7.3633776,7.416598
2061,,,,
2062,,,,
2063,,,,
2064,,,,
2065,,,,
2066,,,,
2067,,,,
2068,,,,
2069,,,,
2070,,7.380409299999999,7.419325,7.5006514
2071,,,,
2072,,,,
2073,,,,
2074,,,,
2075,,,,
2076,,,,
2077,,,,
2078,,,,
2079,,,,
2080,,7.4220413999999995,7.4761424,7.5920887
2081,,,,
2082,,,,
2083,,,,
2084,,,,
2085,,,,
2086,,,,
2087,,,,
2088,,,,
2089,,,,
2090,,7.4638734,7.533254599999999,7.6905546
2091,,,,
2092,,,,
2093,,,,
2094,,,,
2095,,,,
2096,,,,
2097,,,,
2098,,,,
2099,,,,
2100,,7.5061097,7.5911636,7.7952495
2101,,,,
2102,,,,
2103,,,,
2104,,,,
2105,,,,
2106,,,,
2107,,,,
2108,,,,
2109,,,,
2110,,7.5478916,7.6496444,7.903245999999999
2111,,,,
2112,,,,
2113,,,,
2114,,,,
2115,,,,
2116,,,,
2117,,,,
2118,,,,
2119,,,,
2120,,7.588760399999999,7.706886299999999,8.011406399999998
2121,,,,
2122,,,,
2123,,,,
2124,,,,
2125,,,,
2126,,,,
2127,,,,
2128,,,,
2129,,,,
